domain,price,currency,date,source,venue,tld
nfts.com,2000000,USD,2022-12-31,dnjournal_ytd,,com
rocket.com,2000000,USD,2024-12-31,dnjournal_ytd,,com
connect.com,2000000,USD,2022-12-31,dnjournal_ytd,,com
gold.com,2000000,USD,2024-12-31,dnjournal_ytd,,com
it.com,2000000,USD,2022-12-31,dnjournal_ytd,,com
hippo.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
christmas.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
floor.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
help.com,2000000,USD,2023-12-31,dnjournal_ytd,,com
marketing.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
forge.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
afs.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
nft.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
angel.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
is.com,1950000,USD,2021-12-31,dnjournal_ytd,,com
exodus.com,1945000,USD,2021-12-31,dnjournal_ytd,,com
galaxy.com,1800000,USD,2022-12-31,dnjournal_ytd,,com
chill.com,1600000,USD,2022-12-31,dnjournal_ytd,,com
call.com,1600000,USD,2022-12-31,dnjournal_ytd,,com
hurt.com,1500000,USD,2023-12-31,dnjournal_ytd,,com
room.com,1500000,USD,2023-12-31,dnjournal_ytd,,com
gems.com,1500000,USD,2022-12-31,dnjournal_ytd,,com
ee.com,1350000,USD,2021-12-31,dnjournal_ytd,,com
tm.com,1250000,USD,2019-11-15,zachwill_sampled,VIP Brokerage,com
meme.com,1250000,USD,2021-12-31,dnjournal_ytd,,com
unlock.com,1228200,USD,2022-12-31,dnjournal_ytd,,com
tp.com,1200000,USD,2024-12-31,dnjournal_ytd,,com
ballet.com,1160230,USD,2022-12-31,dnjournal_ytd,,com
near.com,1150000,USD,2021-12-31,dnjournal_ytd,,com
bullish.com,1080000,USD,2020-12-31,dnjournal_ytd,,com
stable.com,1008925,USD,2022-12-31,dnjournal_ytd,,com
ebike.com,1008900,USD,2021-12-31,dnjournal_ytd,,com
koko.com,1000000,USD,2024-12-31,dnjournal_ytd,,com
rx.com,1000000,USD,2019-07-31,zachwill_sampled,Sedo,com
selfmade.com,977500,USD,2021-12-31,dnjournal_ytd,,com
biontech.com,950000,USD,2022-12-31,dnjournal_ytd,,com
recursion.com,904000,USD,2021-12-31,dnjournal_ytd,,com
great.com,900000,USD,2018-01-31,zachwill_sampled,NamesCon,com
ol.com,900000,USD,2019-01-29,zachwill_sampled,NamesCon,com
gobet.com,850000,USD,2021-12-31,dnjournal_ytd,,com
tattoo.com,812000,USD,2021-12-31,dnjournal_ytd,,com
bankfirst.com,800000,USD,2022-12-31,dnjournal_ytd,,com
links.com,797361,USD,2019-06-26,zachwill_sampled,Sedo,com
ava.com,792000,USD,2021-12-31,dnjournal_ytd,,com
poker.net,750000,USD,2021-12-31,dnjournal_ytd,,net
nas.com,720000,USD,2020-12-31,dnjournal_ytd,,com
you.ai,700000,USD,2023-12-31,dnjournal_ytd,,ai
mk.com,700000,USD,2018-11-10,zachwill_sampled,NameExperts.com,com
livewire.com,632500,USD,2021-12-31,dnjournal_ytd,,com
iz.com,625000,USD,2021-12-31,dnjournal_ytd,,com
oa.com,609068,USD,2020-02-28,zachwill_sampled,Sedo,com
ecl.com,600000,USD,2023-12-31,dnjournal_ytd,,com
socrates.com,600000,USD,2023-12-31,dnjournal_ytd,,com
yachts.com,600000,USD,2022-12-31,dnjournal_ytd,,com
zerocarbon.com,600000,USD,2021-12-31,dnjournal_ytd,,com
iw.com,570000,USD,2022-12-31,dnjournal_ytd,,com
rural.com,550000,USD,2024-12-31,dnjournal_ytd,,com
gcp.com,550000,USD,2022-12-31,dnjournal_ytd,,com
wolf.com,550000,USD,2021-12-31,dnjournal_ytd,,com
lender.com,550000,USD,2021-12-31,dnjournal_ytd,,com
continue.com,550000,USD,2024-12-31,dnjournal_ytd,,com
able.com,542500,USD,2021-12-31,dnjournal_ytd,,com
tradezero.com,540000,USD,2022-12-31,dnjournal_ytd,,com
blade.com,503000,USD,2021-12-31,dnjournal_ytd,,com
snoring.com,502225,USD,2018-07-17,zachwill_sampled,Buckley Media Group,com
sleeping.com,502225,USD,2018-07-17,zachwill_sampled,Buckley Media Group,com
rebates.com,500000,USD,2022-12-31,dnjournal_ytd,,com
rebate.com,500000,USD,2022-12-31,dnjournal_ytd,,com
kush.com,500000,USD,2018-11-16,zachwill_sampled,Sedo,com
dax.com,500000,USD,2018-02-06,zachwill_sampled,Sedo,com
bagels.com,500000,USD,2024-12-31,dnjournal_ytd,,com
bettingodds.com,487867,USD,2019-07-09,zachwill_sampled,Sedo,com
358.com,480000,USD,2015-07-26,zachwill_sampled,SnapNames,com
lnw.com,475000,USD,2022-12-31,dnjournal_ytd,,com
nif.com,450000,USD,2021-12-31,dnjournal_ytd,,com
zag.com,450000,USD,2021-12-31,dnjournal_ytd,,com
plants.com,450000,USD,2018-12-12,zachwill_sampled,Sedo,com
employer.com,450000,USD,2024-12-31,dnjournal_ytd,,com
gosh.com,450000,USD,2024-12-31,dnjournal_ytd,,com
pfa.com,450000,USD,2023-12-31,dnjournal_ytd,,com
egt.com,450000,USD,2021-12-31,dnjournal_ytd,,com
james.com,440000,USD,2021-12-31,dnjournal_ytd,,com
leads.com,435000,USD,2019-01-29,zachwill_sampled,NamesCon,com
betcalifornia.com,425000,USD,2022-12-31,dnjournal_ytd,,com
solutions.com,415000,USD,2024-12-31,dnjournal_ytd,,com
snappy.com,415000,USD,2021-12-31,dnjournal_ytd,,com
151.com,415000,USD,2020-12-31,dnjournal_ytd,,com
asap.com,404600,USD,2024-12-31,dnjournal_ytd,,com
cooking.com,402500,USD,2019-04-26,zachwill_sampled,Sedo,com
casinos.org,400000,USD,2019-06-20,zachwill_sampled,Sedo,org
peace.com,400000,USD,2024-12-31,dnjournal_ytd,,com
overview.com,400000,USD,2021-12-31,dnjournal_ytd,,com
worldclass.com,400000,USD,2021-12-31,dnjournal_ytd,,com
fta.com,400000,USD,2021-12-31,dnjournal_ytd,,com
